# ----------------------------------------
# Manual: Session manual campaign name
# Account: JerseyBasket
# Property: jerseybasket.je
# ----------------------------------------
# 
# All Users
# Start date: 20260430
# End date: 20260527
Session manual campaign name,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Key events,Event count,Total revenue
(referral),161,176,54,15.244318181818182,0.33540372670807456,3.465909090909091,0.3068181818181818,0,610,0
(not set),71,119,50,26.067226890756302,0.704225352112676,3.53781512605042,0.42016806722689076,0,421,0
